2024-02-07 22:15:55,220: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-02-07 22:15:56,067: root: INFO: Current backtesting datetime 2023-01-03 08:30:00-05:00
2024-02-07 22:15:56,068: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-02-07 22:15:56,069: root: INFO: Current backtesting datetime 2023-01-03 09:30:00-05:00
2024-02-07 22:15:56,069: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-02-07 22:15:56,070: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-02-07 22:15:56[0m
2024-02-07 22:15:56,070: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:56,076: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:56,249: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:56,257: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,280: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,287: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,397: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,875: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,989: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:57,994: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:58,092: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:58,096: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:58,151: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:58,560: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:58,690: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:59,136: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:59,252: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:15:59,984: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,043: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,048: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,320: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,325: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,381: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-02-07 22:16:00,914: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
