time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-02-14 09:30:00-05:00,MLTrader,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-14 09:30:00-05:00,MLTrader,QQQ,buy,market,fill,1,gtc,0.0,1,stock,302.8900146484375,17.0,0.0
2023-02-15 09:30:00-05:00,MLTrader,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-15 09:30:00-05:00,MLTrader,QQQ,buy,market,fill,1,gtc,0.0,1,stock,304.8999938964844,16.0,0.0
2023-02-17 09:30:00-05:00,MLTrader,AMD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-17 09:30:00-05:00,MLTrader,AMD,buy,market,fill,1,gtc,0.0,1,stock,79.5999984741211,57.0,0.0
2023-02-23 09:30:00-05:00,MLTrader,PANW,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,MLTrader,PANW,buy,market,fill,1,gtc,0.0,1,stock,187.60000610351562,23.0,0.0
2023-02-24 09:30:00-05:00,MLTrader,PANW,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-24 09:30:00-05:00,MLTrader,PANW,buy,market,fill,1,gtc,0.0,1,stock,185.0,22.0,0.0
2023-02-27 09:30:00-05:00,MLTrader,INTU,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-27 09:30:00-05:00,MLTrader,INTU,buy,market,fill,1,gtc,0.0,1,stock,421.3800048828125,9.0,0.0
2023-03-01 09:30:00-05:00,MLTrader,INTU,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-03-01 09:30:00-05:00,MLTrader,INTU,sell,stop,fill,1,day,0.0,1,stock,400.3110046386719,9.0,0.0
2023-03-02 09:30:00-05:00,MLTrader,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-03-02 09:30:00-05:00,MLTrader,QQQ,sell,stop,fill,1,day,0.0,1,stock,288.6600036621094,16.0,0.0
2023-03-09 09:30:00-05:00,MLTrader,AMD,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 09:30:00-05:00,MLTrader,AMD,sell,limit,fill,1,day,0.0,1,stock,87.55999832153321,57.0,0.0
2023-03-10 09:30:00-05:00,MLTrader,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-03-10 09:30:00-05:00,MLTrader,QQQ,sell,stop,fill,1,day,0.0,1,stock,287.7455139160156,17.0,0.0
2023-03-20 09:30:00-04:00,MLTrader,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
